smokers_me_3_rrmse_3_11_7_13, smokers_f_me_3_rrmse_3_11_7_13, obese_f_me_3_rrmse_3_11_7_13, area_code, ovrwght_f_me_3_rrmse_3_11_7_13, obese_m_me_3_rrmse_3_11_7_13, smokers_f_me_2_rate_3_11_7_13, alcohol_cons_2_rate_3_11_7_13, obese_f_me_1_no_3_11_7_13, ovrwght_p_me_3_rrmse_3_11_7_13, obese_m_me_2_rate_3_11_7_13, smokers_me_2_rate_3_11_7_13, ovrwght_m_me_3_rrmse_3_11_7_13, ovrwght_p_me_2_rate_3_11_7_13, alcohol_cons_3_rrmse_3_11_7_13, area_name, smokers_m_me_3_rrmse_3_11_7_13, ovrwght_f_me_2_rate_3_11_7_13, smokers_m_me_2_rate_3_11_7_13, obese_p_me_2_rate_3_11_7_13, obese_p_me_3_rrmse_3_11_7_13, ovrwght_m_me_2_rate_3_11_7_13
3.0,3.0,3.0,22250,3.0,3.0,23.1652992831249,3.50803129025707,1018.93079785176,3.0,27.1473325005557,25.3842132343031,3.0,35.5300750313407,1.0,"Gannawarra (S)",3.0,27.4262633067967,27.5829445674022,28.8050688267404,3.0,43.0460874936528
3.0,3.0,3.0,22410,3.0,3.0,21.9589989461681,3.30288853087975,2067.10977052906,3.0,27.3753582766504,24.9415217305303,3.0,34.8491001726958,3.0,"Glenelg (S)",3.0,27.1979848630566,27.892646826159,30.1979568632633,3.0,41.9854052677646
3.0,3.0,3.0,22490,3.0,3.0,16.9408755504675,3.0752172244496,1537.49183024778,3.0,26.5607626523367,19.3856557460903,3.0,37.0628906443874,3.0,"Golden Plains (S)",3.0,27.2064377610432,21.8237479962265,27.009449782423,3.0,46.2123549738059
3.0,3.0,3.0,22620,3.0,3.0,20.8067976110166,3.18911962300415,10292.4468895147,3.0,26.4977307010264,22.1828380976551,3.0,36.259567430102,3.0,"Greater Bendigo (C)",3.0,27.9988945398223,23.6141582892152,29.6510521140173,3.0,44.5615100422926
3.0,3.0,3.0,22670,3.0,3.0,14.173834036956,2.96029960131444,13340.2398909,3.0,25.6737872719097,20.1053154047378,3.0,34.4206790659956,3.0,"Greater Dandenong (C)",3.0,27.3468824989571,25.7823087886364,28.5293444029962,3.0,40.7634953471626
3.0,3.0,3.0,22750,3.0,3.0,18.6434811018938,3.10437363972983,21547.4819417478,3.0,26.0949311617031,20.8673092233574,3.0,35.6377228039457,3.0,"Greater Geelong (C)",3.0,27.810992774682,23.1840234690199,28.981914818215,3.0,43.4203664331561
3.0,3.0,3.0,22830,3.0,3.0,20.0949875717729,3.25684108868102,6390.36905840651,3.0,27.5069453495215,23.7988116201287,3.0,35.7427943794107,3.0,"Greater Shepparton (C)",3.0,27.2184214299074,27.5394118739345,31.274838779016,3.0,43.8749521942357
3.0,3.0,3.0,22910,3.0,3.0,20.006818972825,3.17450036486702,1324.13668869006,3.0,25.7606171091321,22.7254772795357,3.0,34.935335414817,3.0,"Hepburn (S)",3.0,27.1002335637391,25.5410289791152,26.1675380006362,3.0,42.6456027756351
3.0,3.0,3.0,22980,3.0,3.0,21.3330651282383,3.53663575541676,642.737766820228,3.0,28.4490681331318,24.3101772956364,3.0,35.7988235000463,1.0,"Hindmarsh (S)",3.0,28.1139491965663,27.1538644413124,31.5637219236684,3.0,42.7616863630435
3.0,3.0,3.0,23110,3.0,3.0,14.6951896077082,2.98515181075289,7665.46317030238,3.0,25.0201237493613,18.020735427648,3.0,35.6326680296211,3.0,"Hobsons Bay (C)",3.0,27.2271381964318,21.353008985008,26.5841993201606,3.0,43.6328305110699
3.0,3.0,3.0,23190,3.0,3.0,20.9454740270605,3.36937731365637,1889.20130938584,3.0,27.32385943245,22.8612005858002,3.0,35.4492633637337,3.0,"Horsham (RC)",3.0,28.0938808804086,24.8029990500245,29.3898745788301,3.0,42.5562237979898
3.0,3.0,3.0,23270,3.0,3.0,16.2889109659186,3.03848672322095,17226.796093899,3.0,25.9964765441031,20.5961535781042,3.0,35.716352804922,3.0,"Hume (C)",3.0,27.5721922818888,25.0550421155833,30.0728627432514,3.0,43.6930861779245
3.0,3.0,3.0,23350,3.0,3.0,17.709143371025,3.11947329246714,1279.20177088128,3.0,26.3029089097082,19.9921046031518,3.0,35.8599613760647,3.0,"Indigo (S)",3.0,27.3186075128587,22.3245758629272,26.2310338849799,3.0,44.1095827062176
3.0,3.0,3.0,23430,3.0,3.0,14.0124813889766,2.82361666182023,13020.4054616,3.0,24.8905679019785,16.9052322198887,3.0,36.2972995648385,3.0,"Kingston (C)",3.0,27.4060279183836,19.8954211411996,26.161589565413,3.0,45.100600078653
3.0,3.0,3.0,23670,3.0,3.0,15.1728241282238,2.86425310391283,12971.1476809952,3.0,25.1965718279783,17.2758559539427,3.0,35.14987317583,3.0,"Knox (C)",3.0,27.1137753261324,19.4504430552209,25.9424522154552,3.0,43.0754650455305
3.0,3.0,3.0,23810,3.0,3.0,22.1164776172267,3.34754172092655,7976.49252131262,3.0,27.3014659003026,25.352957944289,3.0,34.1144348920514,3.0,"Latrobe (C)",3.0,27.5268256288146,28.6929650533283,31.1945646649742,3.0,40.5677115172242
3.0,3.0,3.0,23940,3.0,3.0,20.9113514576826,3.50860376100497,852.196852004717,3.0,27.4611920842724,25.5414191170526,3.0,35.8829505501708,3.0,"Loddon (S)",3.0,27.7953984073888,29.7847648275055,31.2382913832727,3.0,42.8033351125177
3.0,3.0,3.0,24130,3.0,3.0,15.612544573194,2.90138169278126,3932.09323316371,3.0,25.2714832697896,17.4207398238013,3.0,36.2313008946578,3.0,"Macedon Ranges (S)",3.0,27.5522147015824,19.329829761958,27.25867150324,3.0,44.9113994582721
3.0,3.0,3.0,24210,3.0,3.0,11.027966900527,2.57195072801787,7936.39149362655,3.0,23.3600685321938,13.0810919811592,3.0,35.808191971129,3.0,"Manningham (C)",3.0,25.5439637076861,15.2792667246107,21.7238820849354,3.0,46.2295985927638
3.0,3.0,3.0,24250,3.0,3.0,19.9421189045564,3.2956780090525,632.741247472195,3.0,27.075907750803,22.1375422158745,3.0,37.4876767243466,3.0,"Mansfield (S)",3.0,29.0349180290275,24.2770178121427,27.0360806431195,3.0,45.3328352398511
3.0,3.0,3.0,24330,3.0,3.0,12.6357652651916,2.99276074913146,5427.2269443,3.0,24.2965211403343,17.1044139944165,3.0,34.0008673553676,3.0,"Maribyrnong (C)",3.0,26.7294021273405,21.3556886784904,24.5272458437409,3.0,40.4541555809728
3.0,3.0,3.0,24410,3.0,3.0,15.3272823467323,2.8813876154951,9541.70531803622,3.0,25.3554853025775,17.2099816865586,3.0,35.543325062046,3.0,"Maroondah (C)",3.0,27.0980858919603,19.1972831738167,26.7806839102234,3.0,44.1170862969171
3.0,3.0,3.0,24600,3.0,3.0,12.0077479155438,2.97105785645616,2924.68721194208,3.0,16.4853674417314,14.5948116079417,3.0,32.4310215818193,3.0,"Melbourne (C)",3.0,25.9346310986729,17.1847915226258,13.5385750171187,3.0,38.4694381450379
3.0,3.0,3.0,24650,3.0,3.0,17.5367802883933,3.01329659078279,10157.6584878001,3.0,26.6431835578241,20.4477163024591,3.0,35.7761845644503,3.0,"Melton (S)",3.0,27.2896143211522,23.4803815002103,29.657773870697,3.0,44.1494770585201
