copd_me_3_rrmse_3_11_7_13, mntl_bh_p_me_2_rate_3_11_7_13, circ_me_3_rrmse_3_11_7_13, mntl_bh_p_me_3_rrmse_3_11_7_13, respirtry_me_3_rrmse_3_11_7_13, asthma_me_3_rrmse_3_11_7_13, area_code, mntl_bh_m_me_2_rate_3_11_7_13, hypertens_me_3_rrmse_3_11_7_13, hg_choles_me_2_rate_3_11_7_13, asthma_me_2_rate_3_11_7_13, diabetes_me_2_rate_3_11_7_13, musculo_me_3_rrmse_3_11_7_13, mntl_bh_f_me_3_rrmse_3_11_7_13, mntl_bh_f_me_2_rate_3_11_7_13, area_name, respirtry_me_2_rate_3_11_7_13, musculo_me_2_rate_3_11_7_13, hypertens_me_2_rate_3_11_7_13, arthritis_me_2_rate_3_11_7_13, circ_me_2_rate_3_11_7_13, arthritis_me_3_rrmse_3_11_7_13, diabetes_me_3_rrmse_3_11_7_13, copd_me_2_rate_3_11_7_13, hg_choles_me_3_rrmse_3_11_7_13, mntl_bh_m_me_3_rrmse_3_11_7_13
3.0,12.3211937996901,3.0,3.0,3.0,3.0,21890,9.71829940084154,3.0,32.3208500811688,9.71609066893599,6.67363440738368,3.0,3.0,14.8056071991165,"Darebin (C)",28.8485234923355,26.6004987695558,10.0295590205559,14.9856782851425,17.3674107925165,3.0,3.0,1.86266603043835,3.0,3.0
3.0,14.9660214826974,3.0,3.0,3.0,3.0,22110,12.8335390302583,3.0,34.9825404977888,13.550860689728,3.72096071621133,3.0,3.0,17.1073603208888,"East Gippsland (S)",30.5629438233013,29.2667007707694,9.92354863370492,16.4402394533231,17.6450867137583,3.0,3.0,2.1295994285472,3.0,3.0
3.0,13.8586340740652,3.0,3.0,3.0,3.0,22170,11.7634050503112,3.0,34.0412489175244,11.5989790864348,3.95364193487809,3.0,3.0,15.8344192630737,"Frankston (C)",33.3942438847137,27.3564764460174,10.0777331869396,14.174867912768,17.3798844252058,3.0,3.0,2.02578773817229,3.0,3.0
1.0,12.8120026023713,3.0,3.0,3.0,3.0,22250,11.9533172418636,3.0,35.64172791422,13.7758222891955,3.73800398929038,3.0,3.0,13.7792174094005,"Gannawarra (S)",32.2004992556658,28.9167584502697,9.14328695771952,16.4846062582834,17.4074192045472,3.0,1.0,2.1651637203926,3.0,3.0
1.0,13.6162769784928,3.0,3.0,3.0,3.0,22410,11.8153845871968,3.0,32.1607569187362,13.3263255640597,3.64342149859394,3.0,3.0,15.5159214247802,"Glenelg (S)",29.6538807833655,27.5400455399486,9.66284204354772,14.8302464783772,16.7762625263421,3.0,1.0,2.15106193503017,3.0,3.0
3.0,12.2227141340219,3.0,3.0,3.0,3.0,22490,9.7523859394799,3.0,33.7003702374638,12.2428608422789,3.39709515456172,3.0,3.0,14.8677269820284,"Golden Plains (S)",31.9004665369182,27.8206984526833,10.2153141658242,14.7518740673829,16.527881370984,3.0,3.0,1.89470921358622,3.0,3.0
3.0,14.1657348780236,3.0,3.0,3.0,3.0,22620,11.8894703714695,3.0,33.1763365970331,14.7445272275129,3.92712010558459,3.0,3.0,16.3627898929138,"Greater Bendigo (C)",34.7365301669964,28.2042472341969,9.98204314748964,16.2494750077517,16.8916117778825,3.0,3.0,2.20759645569074,3.0,3.0
3.0,12.3939402407389,3.0,3.0,3.0,3.0,22670,9.2727508806864,3.0,31.9601199015371,8.01153745412685,8.29910587920173,3.0,3.0,15.6449454635031,"Greater Dandenong (C)",27.7440899147839,24.6494981823865,10.0253444476521,13.7334195885657,16.9056664163991,3.0,3.0,1.78680416498056,3.0,3.0
3.0,13.6493604132715,3.0,3.0,3.0,3.0,22750,11.9331688342787,3.0,33.3642748330312,12.5367430328315,4.38714079037411,3.0,3.0,15.3019850743628,"Greater Geelong (C)",30.2771376127853,27.6672580064961,10.0348302146239,15.0604718492475,16.8437689443762,3.0,3.0,2.04134562303569,3.0,3.0
3.0,13.5312769971664,3.0,3.0,3.0,3.0,22830,11.897007081674,3.0,33.9323944357607,13.2646852379826,4.31015698320295,3.0,3.0,15.1875052911814,"Greater Shepparton (C)",32.9917431125285,27.7944683817822,9.98350458684673,14.9035596527477,16.6324929605558,3.0,3.0,2.08118911717567,3.0,3.0
